源节点,边类型,目标节点,Cluster,合并后的边类型
中华医学杂志,发布,成人阻塞性睡眠呼吸暂停多学科诊疗指南,12,使用
中国医师协会睡眠医学专业委员会,编写,成人阻塞性睡眠呼吸暂停多学科诊疗指南,14,编写
阻塞性睡眠呼吸暂停,引起,高血压,6,引起
阻塞性睡眠呼吸暂停,引起,冠心病,6,引起
阻塞性睡眠呼吸暂停,引起,心律失常,6,引起
阻塞性睡眠呼吸暂停,引起,脑血管病,6,引起
阻塞性睡眠呼吸暂停,引起,认知功能障碍,6,引起
阻塞性睡眠呼吸暂停,引起,2型糖尿病,6,引起
阻塞性睡眠呼吸暂停,引起,顽固性高血压,6,引起
阻塞性睡眠呼吸暂停,引起,卒中,6,引起
阻塞性睡眠呼吸暂停,引起,全身性疾病,6,引起
OSA,引起,高血压,6,引起
OSA,引起,冠心病,6,引起
OSA,引起,心律失常,6,引起
OSA,引起,脑血管病,6,引起
OSA,引起,认知功能障碍,6,引起
OSA,引起,2型糖尿病,6,引起
OSA,引起,顽固性高血压,6,引起
OSA,引起,卒中,6,引起
OSA,引起,全身性疾病,6,引起
成人阻塞性睡眠呼吸暂停多学科诊疗指南,基于,世界卫生组织指南制订手册,17,诊断依据
成人阻塞性睡眠呼吸暂停多学科诊疗指南,基于,中华医学杂志,17,诊断依据
成人阻塞性睡眠呼吸暂停多学科诊疗指南,使用,GRADE,12,使用
叶京英,工作于,清华大学附属北京清华长庚医院,8,表现为
叶京英,工作于,清华大学临床医学院,8,表现为
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA疾病诊断,4,包括
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA病因学,4,包括
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA合并症评估,4,包括
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA伴发其他睡眠障碍,4,包括
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA多学科联合诊疗,4,包括
年龄,影响,OSA,1,影响
性别,影响,OSA,1,影响
肥胖,影响,OSA,1,影响
家族史,影响,OSA,1,影响
上气道解剖异常,影响,OSA,1,影响
饮酒,影响,OSA,1,影响
镇静催眠药物,影响,OSA,1,影响
吸烟,影响,OSA,1,影响
脑血管疾病,影响,OSA,1,影响
充血性心衰,影响,OSA,1,影响
甲状腺功能低下,影响,OSA,1,影响
肢端肥大症,影响,OSA,1,影响
声带麻痹,影响,OSA,1,影响
脑肿瘤,影响,OSA,1,影响
神经肌肉疾病,影响,OSA,1,影响
咽喉反流,影响,OSA,1,影响
胃食管反流,影响,OSA,1,影响
压迫大气道的上纵隔肿物,影响,OSA,1,影响
OSA,表现为,睡眠打鼾,8,表现为
OSA,表现为,睡眠质量下降,8,表现为
OSA,表现为,夜尿增多,8,表现为
OSA,表现为,注意力不集中,8,表现为
OSA,表现为,记忆力下降,8,表现为
OSA,表现为,易怒,8,表现为
OSA,表现为,焦虑,8,表现为
OSA,表现为,抑郁,8,表现为
OSA,影响,心血管系统,1,影响
OSA,影响,内分泌系统,1,影响
OSA,影响,呼吸系统,1,影响
OSA,影响,泌尿生殖系统,1,影响
OSA,影响,消化系统,1,影响
OSA,影响,神经与精神系统,1,影响
OSA,影响,血液系统,1,影响
OSA,影响,眼部,1,影响
OSA,影响,耳鼻咽喉,1,影响
OSA,影响,口腔颅颌面,1,影响
体格检查,包括,身高,4,包括
体格检查,包括,体质量,4,包括
体格检查,包括,体质指数,4,包括
体格检查,包括,BMI,4,包括
体格检查,包括,血压,4,包括
体格检查,包括,心率,4,包括
体格检查,包括,颌面形态,4,包括
体格检查,包括,鼻腔,4,包括
体格检查,包括,口腔,4,包括
体格检查,包括,咽喉部,4,包括
体格检查,包括,心肺检查,4,包括
鼻腔到下咽,影响,OSA,1,影响
颌面,影响,OSA,1,影响
鼻腔,影响,OSA,1,影响
咽腔,影响,OSA,1,影响
颈围,影响,OSA,1,影响
胸围,影响,OSA,1,影响
腹围,影响,OSA,1,影响
臀围,影响,OSA,1,影响
肘围,影响,OSA,1,影响
睡眠监测,包括,多导睡眠监测,4,包括
睡眠监测,包括,PSG,4,包括
睡眠监测,包括,睡眠中心外睡眠监测,4,包括
睡眠监测,包括,OCST,4,包括
呼吸事件,包括,呼吸暂停,4,包括
呼吸事件,包括,混合性呼吸暂停,4,包括
呼吸事件,包括,低通气,4,包括
呼吸事件,包括,呼吸努力相关性觉醒,4,包括
呼吸事件,包括,RERAs,4,包括
动脉血氧饱和度,影响,OSA,1,影响
动脉血氧饱和度,包括,SaO2,4,包括
OSA,分为,轻度OSA,15,分为
OSA,分为,中度OSA,15,分为
OSA,分为,重度OSA,15,分为
OSA,评估,ESS,3,评估
OSA,表现为,日间思睡,8,表现为
OSA,影响,甲状腺功能减退,1,影响
OSA,影响,肢端肥大症,1,影响
OSA,影响,耳鼻喉科疾病,1,影响
OSA,影响,口腔科疾病,1,影响
OSA,影响,代谢综合征,1,影响
OSA,影响,糖尿病,1,影响
OSA,影响,高血压,1,影响
OSA,影响,肺动脉高压,1,影响
OSA,影响,肺心病,1,影响
OSA,影响,心律失常,1,影响
OSA,影响,脑血管意外,1,影响
OSA,影响,红细胞增多症,1,影响
OSA,影响,其他睡眠疾病,1,影响
OSA,需要鉴别,单纯鼾症,11,需要鉴别
OSA,需要鉴别,中枢性睡眠呼吸暂停,11,需要鉴别
OSA,需要鉴别,CSA,11,需要鉴别
OSA,需要鉴别,肥胖低通气综合征,11,需要鉴别
OSA,需要鉴别,睡眠相关肺泡低通气,11,需要鉴别
OSA,需要鉴别,发作性睡病,11,需要鉴别
OSA,需要鉴别,不宁腿综合征,11,需要鉴别
OSA,需要鉴别,周期性腿动,11,需要鉴别
OSA,需要鉴别,惊恐发作,11,需要鉴别
OSA,需要鉴别,药物或其他物质所致的失眠或思睡,11,需要鉴别
OSA,治疗,多学科治疗,0,治疗
超重,影响,OSA,1,影响
OSA,治疗,减重,0,治疗
OSA,治疗,戒烟,0,治疗
OSA,治疗,戒酒,0,治疗
OSA,避免,镇静催眠药物,12,使用
OSA,治疗,无创气道正压通气,0,治疗
OSA,治疗,NPPV,0,治疗
OSA,使用,无创呼吸机,12,使用
OSA,治疗,CPAP,0,治疗
OSA,治疗,自动持续气道正压通气,0,治疗
OSA,治疗,APAP,0,治疗
OSA,治疗,双水平气道正压通气,0,治疗
OSA,治疗,BiPAP,0,治疗
OSA,治疗,氧疗,0,治疗
OSA,使用,口腔矫治器,12,使用
OSA,治疗,鼻腔手术,0,治疗
OSA,治疗,扁桃体及腺样体切除术,0,治疗
OSA,治疗,悬雍垂腭咽成形术,0,治疗
OSA,治疗,UPPP,0,治疗
OSA,评估,Friedman分型系统,3,评估
OSA,治疗,软腭植入术,0,治疗
OSA,治疗,舌根手术,0,治疗
OSA,治疗,舌根射频消融术,0,治疗
OSA,治疗,舌根部分切除术,0,治疗
OSA,治疗,舌骨悬吊术,0,治疗
OSA,治疗,舌悬吊术,0,治疗
OSA,治疗,舌下神经刺激治疗,0,治疗
OSA,治疗,牵引成骨术,0,治疗
OSA,治疗,单颌手术,0,治疗
OSA,治疗,双颌前移术,0,治疗
OSA,治疗,减重代谢手术,0,治疗
OSA,治疗,BMS,0,治疗
OSA,治疗,腹腔镜胃袖状切除术,0,治疗
OSA,治疗,LSG,0,治疗
OSA,治疗,腹腔镜Roux-en-Y胃旁路术,0,治疗
OSA,治疗,LRYGB,0,治疗
OSA,治疗,腹腔镜可调节胃绑带术,0,治疗
OSA,治疗,LAGB,0,治疗
OSA,治疗,胆胰分流合并十二指肠转位术,0,治疗
OSA,治疗,BPD-DS,0,治疗
OSA,治疗,气管切开术,0,治疗
OSA,合并,失眠,10,合并
失眠,治疗,认知行为治疗,0,治疗
失眠,治疗,CBT-I,0,治疗
失眠,治疗,非苯二氮类药物,0,治疗
失眠,治疗,non-BZDs,0,治疗
失眠,治疗,唑吡坦,0,治疗
失眠,治疗,右佐匹克隆,0,治疗
OSA,合并,发作性睡病,10,合并
发作性睡病,治疗,莫达非尼,0,治疗
发作性睡病,治疗,阿莫达非尼,0,治疗
OSA,合并,不宁腿综合征,10,合并
不宁腿综合征,治疗,多巴胺受体激动剂,0,治疗
不宁腿综合征,治疗,氯硝西泮,0,治疗
OSA,合并,REM期行为障碍,10,合并
REM期行为障碍,包括,特发性RBD,4,包括
REM期行为障碍,影响,痴呆,1,影响
REM期行为障碍,影响,帕金森病,1,影响
中华神经科杂志,发布,中国发作性睡病诊断与治疗指南（2022 版）,12,使用
中国发作性睡病诊断与治疗指南（2022 版）,编写,中华医学会神经病学分会睡眠障碍学组,14,编写
中国发作性睡病诊断与治疗指南（2022 版）,作者,王玉平,12,使用
发作性睡病,症状,日间过度思睡,5,症状
发作性睡病,症状,猝倒症,5,症状
发作性睡病,症状,入睡前幻觉,5,症状
发作性睡病,治疗,治疗,0,治疗
Narcolepsy,症状,Excessive daytime sleepiness,5,症状
Narcolepsy,症状,Cataplexy,5,症状
Narcolepsy,症状,Hypnagogic hallucinations,5,症状
Narcolepsy,治疗,Therapy,0,治疗
发作性睡病,提出,Gélineau,12,使用
发作性睡病,症状,日间过度思睡（excessive daytime sleepiness，EDS）,5,症状
发作性睡病,症状,猝倒（cataplexy）,5,症状
发作性睡病,症状,夜间睡眠紊乱（nocturnal sleep disturbance）,5,症状
发作性睡病,相关,H1N1 流感病毒,7,相关
发作性睡病,相关,流感疫苗,7,相关
发作性睡病,相关,HLA,7,相关
发作性睡病,相关,DQB1*06：02,7,相关
发作性睡病,相关,DQB1*03：01,7,相关
发作性睡病,相关,肿瘤坏死因子 α2,7,相关
发作性睡病,相关,嘌呤能受体 P2Y11,7,相关
发作性睡病,相关,TRIB2（tribbles homolog 2）,7,相关
发作性睡病,相关,CD4+T 细胞,7,相关
发作性睡病,相关,CD8+T 细胞,7,相关
发作性睡病,相关,化脓性链球菌,7,相关
发作性睡病,相关,甲型流感病毒,7,相关
发作性睡病,相关,甲型流感疫苗 Pandemrix,7,相关
发作性睡病,影响,腹外侧导水管周围灰质（ventrolateral periaqueductal gray）,1,影响
发作性睡病,影响,被盖背外侧核/脑桥腹外侧区被盖核（laterodorsal and pedunculopontine tegmentum nuclei）,1,影响
