源节点,边类型,目标节点
中华医学杂志,发布,成人阻塞性睡眠呼吸暂停多学科诊疗指南
中国医师协会睡眠医学专业委员会,编写,成人阻塞性睡眠呼吸暂停多学科诊疗指南
阻塞性睡眠呼吸暂停,引起,高血压
阻塞性睡眠呼吸暂停,引起,冠心病
阻塞性睡眠呼吸暂停,引起,心律失常
阻塞性睡眠呼吸暂停,引起,脑血管病
阻塞性睡眠呼吸暂停,引起,认知功能障碍
阻塞性睡眠呼吸暂停,引起,2型糖尿病
阻塞性睡眠呼吸暂停,引起,顽固性高血压
阻塞性睡眠呼吸暂停,引起,卒中
阻塞性睡眠呼吸暂停,引起,全身性疾病
OSA,引起,高血压
OSA,引起,冠心病
OSA,引起,心律失常
OSA,引起,脑血管病
OSA,引起,认知功能障碍
OSA,引起,2型糖尿病
OSA,引起,顽固性高血压
OSA,引起,卒中
OSA,引起,全身性疾病
成人阻塞性睡眠呼吸暂停多学科诊疗指南,基于,世界卫生组织指南制订手册
成人阻塞性睡眠呼吸暂停多学科诊疗指南,基于,中华医学杂志
成人阻塞性睡眠呼吸暂停多学科诊疗指南,使用,GRADE
叶京英,工作于,清华大学附属北京清华长庚医院
叶京英,工作于,清华大学临床医学院
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA疾病诊断
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA病因学
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA合并症评估
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA伴发其他睡眠障碍
成人阻塞性睡眠呼吸暂停多学科诊疗指南,包含,OSA多学科联合诊疗
年龄,影响,OSA
性别,影响,OSA
肥胖,影响,OSA
家族史,影响,OSA
上气道解剖异常,影响,OSA
饮酒,影响,OSA
镇静催眠药物,影响,OSA
吸烟,影响,OSA
脑血管疾病,影响,OSA
充血性心衰,影响,OSA
甲状腺功能低下,影响,OSA
肢端肥大症,影响,OSA
声带麻痹,影响,OSA
脑肿瘤,影响,OSA
神经肌肉疾病,影响,OSA
咽喉反流,影响,OSA
胃食管反流,影响,OSA
压迫大气道的上纵隔肿物,影响,OSA
OSA,表现为,睡眠打鼾
OSA,表现为,睡眠质量下降
OSA,表现为,夜尿增多
OSA,表现为,注意力不集中
OSA,表现为,记忆力下降
OSA,表现为,易怒
OSA,表现为,焦虑
OSA,表现为,抑郁
OSA,影响,心血管系统
OSA,影响,内分泌系统
OSA,影响,呼吸系统
OSA,影响,泌尿生殖系统
OSA,影响,消化系统
OSA,影响,神经与精神系统
OSA,影响,血液系统
OSA,影响,眼部
OSA,影响,耳鼻咽喉
OSA,影响,口腔颅颌面
体格检查,包括,身高
体格检查,包括,体质量
体格检查,包括,体质指数
体格检查,包括,BMI
体格检查,包括,血压
体格检查,包括,心率
体格检查,包括,颌面形态
体格检查,包括,鼻腔
体格检查,包括,口腔
体格检查,包括,咽喉部
体格检查,包括,心肺检查
鼻腔到下咽,影响,OSA
颌面,影响,OSA
鼻腔,影响,OSA
咽腔,影响,OSA
肥胖,影响,OSA
颈围,影响,OSA
胸围,影响,OSA
腹围,影响,OSA
臀围,影响,OSA
肘围,影响,OSA
睡眠监测,包括,多导睡眠监测
睡眠监测,包括,PSG
睡眠监测,包括,睡眠中心外睡眠监测
睡眠监测,包括,OCST
呼吸事件,包括,呼吸暂停
呼吸事件,包括,混合性呼吸暂停
呼吸事件,包括,低通气
呼吸事件,包括,呼吸努力相关性觉醒
呼吸事件,包括,RERAs
动脉血氧饱和度,影响,OSA
动脉血氧饱和度,包括,SaO2
OSA,分为,轻度OSA
OSA,分为,中度OSA
OSA,分为,重度OSA
OSA,评估,ESS
OSA,表现为,日间思睡
OSA,影响,甲状腺功能减退
OSA,影响,肢端肥大症
OSA,影响,耳鼻喉科疾病
OSA,影响,口腔科疾病
OSA,影响,代谢综合征
OSA,影响,糖尿病
OSA,影响,高血压
OSA,影响,肺动脉高压
OSA,影响,肺心病
OSA,影响,心律失常
OSA,影响,脑血管意外
OSA,影响,红细胞增多症
OSA,影响,其他睡眠疾病
OSA,需要鉴别,单纯鼾症
OSA,需要鉴别,中枢性睡眠呼吸暂停
OSA,需要鉴别,CSA
OSA,需要鉴别,肥胖低通气综合征
OSA,需要鉴别,睡眠相关肺泡低通气
OSA,需要鉴别,发作性睡病
OSA,需要鉴别,不宁腿综合征
OSA,需要鉴别,周期性腿动
OSA,需要鉴别,惊恐发作
OSA,需要鉴别,药物或其他物质所致的失眠或思睡
OSA,治疗,多学科治疗
超重,影响,OSA
OSA,治疗,减重
OSA,治疗,戒烟
OSA,治疗,戒酒
OSA,避免,镇静催眠药物
OSA,治疗,无创气道正压通气
OSA,治疗,NPPV
OSA,使用,无创呼吸机
OSA,治疗,CPAP
OSA,治疗,自动持续气道正压通气
OSA,治疗,APAP
OSA,治疗,双水平气道正压通气
OSA,治疗,BiPAP
OSA,治疗,氧疗
OSA,使用,口腔矫治器
OSA,治疗,鼻腔手术
OSA,治疗,扁桃体及腺样体切除术
OSA,治疗,悬雍垂腭咽成形术
OSA,治疗,UPPP
OSA,评估,Friedman分型系统
OSA,治疗,软腭植入术
OSA,治疗,舌根手术
OSA,治疗,舌根射频消融术
OSA,治疗,舌根部分切除术
OSA,治疗,舌骨悬吊术
OSA,治疗,舌悬吊术
OSA,治疗,舌下神经刺激治疗
OSA,治疗,牵引成骨术
OSA,治疗,单颌手术
OSA,治疗,双颌前移术
OSA,治疗,减重代谢手术
OSA,治疗,BMS
OSA,治疗,腹腔镜胃袖状切除术
OSA,治疗,LSG
OSA,治疗,腹腔镜Roux-en-Y胃旁路术
OSA,治疗,LRYGB
OSA,治疗,腹腔镜可调节胃绑带术
OSA,治疗,LAGB
OSA,治疗,胆胰分流合并十二指肠转位术
OSA,治疗,BPD-DS
OSA,治疗,气管切开术
OSA,合并,失眠
失眠,治疗,认知行为治疗
失眠,治疗,CBT-I
失眠,治疗,非苯二氮类药物
失眠,治疗,non-BZDs
失眠,治疗,唑吡坦
失眠,治疗,右佐匹克隆
OSA,合并,发作性睡病
发作性睡病,治疗,莫达非尼
发作性睡病,治疗,阿莫达非尼
OSA,合并,不宁腿综合征
不宁腿综合征,治疗,多巴胺受体激动剂
不宁腿综合征,治疗,氯硝西泮
OSA,合并,REM期行为障碍
REM期行为障碍,包括,特发性RBD
REM期行为障碍,影响,痴呆
REM期行为障碍,影响,帕金森病
中华神经科杂志,发布,中国发作性睡病诊断与治疗指南（2022 版）
中国发作性睡病诊断与治疗指南（2022 版）,编写,中华医学会神经病学分会睡眠障碍学组
中国发作性睡病诊断与治疗指南（2022 版）,作者,王玉平
发作性睡病,症状,日间过度思睡
发作性睡病,症状,猝倒症
发作性睡病,症状,入睡前幻觉
发作性睡病,治疗,治疗
Narcolepsy,症状,Excessive daytime sleepiness
Narcolepsy,症状,Cataplexy
Narcolepsy,症状,Hypnagogic hallucinations
Narcolepsy,治疗,Therapy
发作性睡病,提出,Gélineau
发作性睡病,症状,日间过度思睡（excessive daytime sleepiness，EDS）
发作性睡病,症状,猝倒（cataplexy）
发作性睡病,症状,夜间睡眠紊乱（nocturnal sleep disturbance）
发作性睡病,相关,H1N1 流感病毒
发作性睡病,相关,流感疫苗
发作性睡病,相关,HLA
发作性睡病,相关,DQB1*06：02
发作性睡病,相关,DQB1*03：01
发作性睡病,相关,肿瘤坏死因子 α2
发作性睡病,相关,嘌呤能受体 P2Y11
发作性睡病,相关,TRIB2（tribbles homolog 2）
