源节点,边类型,目标节点
发作性睡病,具有症状,日间思睡
发作性睡病,具有症状,猝倒发作
发作性睡病,具有症状,睡瘫
发作性睡病,具有症状,睡眠相关幻觉
发作性睡病,具有症状,夜间睡眠紊乱
发作性睡病,具有症状,日间过度思睡
发作性睡病,具有症状,睡眠发作
发作性睡病,具有症状,猝倒
发作性睡病,具有症状,睡眠瘫痪
发作性睡病,具有症状,多梦
发作性睡病,具有症状,周期性肢体运动
发作性睡病,具有症状,REM睡眠行为异常
发作性睡病,相关检查,多导睡眠图
发作性睡病,相关检查,多次小睡试验
发作性睡病,相关物质,脑脊液下丘脑分泌素-1
发作性睡病,相关物质,下丘脑外侧区分泌素
发作性睡病,分型,发作性睡病1型
发作性睡病,分型,发作性睡病2型
发作性睡病,鉴别诊断,睡眠呼吸暂停低通气综合征
发作性睡病,鉴别诊断,特发性过度嗜睡
发作性睡病,鉴别诊断,癫痫
发作性睡病,鉴别诊断,睡眠不足综合征
发作性睡病,鉴别诊断,周期性腿动
发作性睡病,鉴别诊断,抑郁症
发作性睡病,鉴别诊断,短暂性脑缺血发作
发作性睡病,鉴别诊断,心理或精神疾病
日间嗜睡,治疗药物,替洛利生
日间嗜睡,治疗药物,莫达非尼
日间嗜睡,治疗药物,哌甲酯
日间嗜睡,治疗药物,安非他明
日间嗜睡,治疗药物,匹莫林
猝倒,治疗药物,普罗替林
猝倒,治疗药物,丙咪嗪
猝倒,治疗药物,氯丙米嗪
猝倒,治疗药物,氟西汀
猝倒,治疗药物,帕罗西汀
猝倒,治疗药物,文拉法辛
夜间睡眠障碍,治疗药物,唑吡坦
夜间睡眠障碍,治疗药物,佐匹克隆
夜间睡眠障碍,治疗药物,右佐匹克隆
夜间睡眠障碍,治疗药物,苯二氮䓬类药物
发作性睡病,治疗药物,γ-羟丁酸钠
